year,unit,value,method_of_travel,breakdown_of_domestic_tourism,travel_type
2015,million pounds (GBP),16.1,Boat/Ship/Ferry,Expenditure,Boat/Ship/Ferry
2014,million pounds (GBP),677.3,Bus or Coach - Regular,Expenditure,Bus
2016,million pounds (GBP),2.4,Boat/Ship/Ferry,Expenditure,Boat/Ship/Ferry
2019,million pounds (GBP),27.7,Boat/Ship/Ferry,Expenditure,Boat/Ship/Ferry
2016,million pounds (GBP),414.7,Bus or Coach - Regular,Expenditure,Bus
2013,million pounds (GBP),2.9,Bus or Coach - Minibus,Expenditure,Bus
2016,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure,Lorry
2015,million pounds (GBP),27.6,Bus or Coach - Minibus,Expenditure,Bus
2017,million pounds (GBP),10.7,Caravan/Campervan,Expenditure,Caravan
2019,million pounds (GBP),24.2,Caravan/Campervan,Expenditure,Caravan
2019,million pounds (GBP),114.8,Bus or Coach - Organised Tour,Expenditure,Bus
2018,million pounds (GBP),13.3,Bus or Coach - Organised Tour,Expenditure,Bus
2015,million pounds (GBP),73.8,Bus or Coach - Organised Tour,Expenditure,Bus
2017,million pounds (GBP),435.9,Bus or Coach - Regular,Expenditure,Bus
2013,million pounds (GBP),104.8,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),27.5,Caravan/Campervan,Expenditure,Caravan
2016,million pounds (GBP),38.1,Caravan/Campervan,Expenditure,Caravan
2015,million pounds (GBP),11.8,Caravan/Campervan,Expenditure,Caravan
2017,million pounds (GBP),106.4,Bus or Coach - Organised Tour,Expenditure,Bus
2013,million pounds (GBP),5.1,Caravan/Campervan,Expenditure,Caravan
2016,million pounds (GBP),59.2,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),16.2,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),3.5,Other,Expenditure,Other
2015,million pounds (GBP),9.5,Other,Expenditure,Other
2017,million pounds (GBP),46.7,Other,Expenditure,Other
2019,million pounds (GBP),30.7,Other,Expenditure,Other
2016,million pounds (GBP),762.8,Train,Expenditure,Train
2017,million pounds (GBP),10.4,Tube,Expenditure,Tube
2018,million pounds (GBP),4.3,Tube,Expenditure,Tube
2013,million pounds (GBP),40.8,Tube,Expenditure,Tube
2013,million pounds (GBP),0.4,Lorry/Truck/Van,Expenditure,Lorry
2017,million pounds (GBP),9.7,Lorry/Truck/Van,Expenditure,Lorry
2016,million pounds (GBP),4916.1,All,Expenditure,Other
2015,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure,Lorry
2019,million pounds (GBP),6.5,Lorry/Truck/Van,Expenditure,Lorry
2016,million pounds (GBP),21.4,Other,Expenditure,Other
2014,million pounds (GBP),0.2,Lorry/Truck/Van,Expenditure,Lorry
2018,million pounds (GBP),131.9,Car - hired,Expenditure,Car
2017,million pounds (GBP),254.1,Car - hired,Expenditure,Car
